,2,23,31,3,10,44,4,21,33,9,11,20,45,46,47
36,0.4711,0.4241,0.4481,0.5229,0.5604,0.4832,0.4577,0.4555,0.3693,0.6173,0.4725,0.6085,0.4238,0.5052,0.4418
37,0.4781,0.4303,0.4551,0.5298,0.5669,0.4924,0.4663,0.4627,0.3742,0.6233,0.477,0.6144,0.4323,0.5142,0.4518
38,0.4851,0.4365,0.4621,0.5367,0.5735,0.5017,0.4749,0.4699,0.3791,0.6292,0.4814,0.6204,0.4409,0.5231,0.4617
39,0.4922,0.4427,0.4692,0.5435,0.5801,0.511,0.4834,0.477,0.3839,0.6352,0.4858,0.6263,0.4494,0.5321,0.4717
40,0.4992,0.4489,0.4762,0.5504,0.5866,0.5202,0.492,0.4842,0.3888,0.6411,0.4903,0.6323,0.4579,0.5411,0.4816
41,0.5062,0.4551,0.4832,0.5573,0.5932,0.5295,0.5005,0.4914,0.3937,0.6471,0.4947,0.6382,0.4664,0.55,0.4916
42,0.5132,0.4613,0.4902,0.5642,0.5998,0.5387,0.5091,0.4985,0.3986,0.653,0.4991,0.6441,0.4749,0.559,0.5015
43,0.5202,0.4675,0.4973,0.5711,0.6063,0.548,0.5176,0.5057,0.4035,0.659,0.5035,0.6501,0.4835,0.568,0.5114
44,0.5273,0.4737,0.5043,0.578,0.6129,0.5572,0.5262,0.5128,0.4084,0.6649,0.508,0.656,0.492,0.5769,0.5214
45,0.5343,0.4799,0.5113,0.5849,0.6195,0.5665,0.5347,0.52,0.4133,0.6709,0.5124,0.6619,0.5005,0.5859,0.5313
46,0.5417,0.489,0.5204,0.592,0.6262,0.5763,0.5432,0.5277,0.4238,0.677,0.517,0.668,0.5092,0.5949,0.5413
47,0.5491,0.4981,0.5295,0.5991,0.6329,0.5861,0.5516,0.5354,0.4343,0.6831,0.5217,0.6741,0.5179,0.6039,0.5513
48,0.5565,0.5073,0.5385,0.6062,0.6396,0.5959,0.56,0.5431,0.4448,0.6892,0.5263,0.6801,0.5267,0.613,0.5612
49,0.5639,0.5164,0.5476,0.6132,0.6464,0.6057,0.5685,0.5507,0.4552,0.6954,0.5309,0.6862,0.5354,0.622,0.5712
50,0.5713,0.5255,0.5567,0.6203,0.6531,0.6155,0.5769,0.5584,0.4657,0.7015,0.5355,0.6923,0.5441,0.631,0.5812
51,0.5788,0.5346,0.5658,0.6274,0.6598,0.6253,0.5853,0.5661,0.4762,0.7076,0.5402,0.6983,0.5528,0.64,0.5911
52,0.5862,0.5437,0.5748,0.6345,0.6665,0.635,0.5938,0.5738,0.4867,0.7137,0.5448,0.7044,0.5615,0.649,0.6011
53,0.5936,0.5529,0.5839,0.6416,0.6732,0.6448,0.6022,0.5815,0.4972,0.7198,0.5494,0.7105,0.5702,0.6581,0.6111
54,0.601,0.562,0.593,0.6487,0.68,0.6546,0.6106,0.5892,0.5077,0.7259,0.5541,0.7165,0.579,0.6671,0.6211
55,0.6099,0.5719,0.6026,0.6568,0.6876,0.665,0.62,0.5985,0.5196,0.7327,0.5592,0.7233,0.5887,0.6749,0.6316
56,0.6187,0.5819,0.6122,0.6649,0.6953,0.6753,0.6294,0.6078,0.5315,0.7394,0.5643,0.7301,0.5985,0.6828,0.6422
57,0.6276,0.5919,0.6218,0.673,0.7029,0.6856,0.6388,0.6172,0.5433,0.7461,0.5694,0.7369,0.6083,0.6907,0.6528
58,0.6365,0.6019,0.6314,0.6811,0.7106,0.6959,0.6482,0.6265,0.5552,0.7528,0.5745,0.7437,0.6181,0.6986,0.6634
59,0.6454,0.6118,0.641,0.6892,0.7183,0.7062,0.6576,0.6359,0.5671,0.7595,0.5796,0.7505,0.6279,0.7064,0.674
60,0.6543,0.6218,0.6506,0.6973,0.7259,0.7165,0.6669,0.6452,0.579,0.7662,0.5847,0.7573,0.6377,0.7143,0.6845
61,0.6631,0.6318,0.6602,0.7054,0.7336,0.7268,0.6763,0.6546,0.5909,0.7729,0.5898,0.764,0.6475,0.7222,0.6951
62,0.672,0.6418,0.6698,0.7135,0.7413,0.7372,0.6857,0.6639,0.6027,0.7796,0.5949,0.7708,0.6573,0.73,0.7057
63,0.6809,0.6517,0.6794,0.7216,0.7489,0.7475,0.6951,0.6732,0.6146,0.7863,0.6001,0.7776,0.6671,0.7379,0.7163
64,0.6932,0.6653,0.6919,0.7325,0.759,0.7585,0.7072,0.6862,0.6304,0.7949,0.6067,0.7865,0.6801,0.748,0.7282
65,0.7055,0.6788,0.7044,0.7435,0.769,0.7694,0.7194,0.6992,0.6461,0.8035,0.6134,0.7954,0.693,0.7581,0.7401
66,0.7178,0.6924,0.7169,0.7544,0.779,0.7804,0.7316,0.7122,0.6619,0.8122,0.6201,0.8043,0.706,0.7683,0.7521
