,0,14,30,6,18,34,7,8,15,35,36,37,38,39,40,41,42,43
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0207,0.0232,0.0263,0.0238,0.0236,0.0226,0.0219,0.0249,0.0212,0.021,0.0205,0.0203,0.0233,0.0197,0.0238,0.0218,0.0206,0.0258
2,0.0414,0.0464,0.0525,0.0476,0.0473,0.0452,0.0437,0.0499,0.0424,0.042,0.041,0.0405,0.0465,0.0394,0.0475,0.0437,0.0412,0.0516
3,0.062,0.0696,0.0788,0.0715,0.0709,0.0678,0.0656,0.0748,0.0636,0.0631,0.0615,0.0608,0.0698,0.0591,0.0713,0.0655,0.0618,0.0774
4,0.0827,0.0928,0.105,0.0953,0.0946,0.0904,0.0874,0.0998,0.0847,0.0841,0.082,0.081,0.0931,0.0788,0.095,0.0874,0.0825,0.1032
5,0.1034,0.116,0.1313,0.1191,0.1182,0.113,0.1093,0.1247,0.1059,0.1051,0.1025,0.1013,0.1163,0.0984,0.1188,0.1092,0.1031,0.129
6,0.1241,0.1392,0.1575,0.1429,0.1419,0.1355,0.1311,0.1497,0.1271,0.1261,0.123,0.1216,0.1396,0.1181,0.1425,0.1311,0.1237,0.1548
7,0.1447,0.1624,0.1838,0.1667,0.1655,0.1581,0.153,0.1746,0.1483,0.1472,0.1435,0.1418,0.1629,0.1378,0.1663,0.1529,0.1443,0.1806
8,0.1654,0.1856,0.21,0.1905,0.1891,0.1807,0.1748,0.1996,0.1695,0.1682,0.164,0.1621,0.1861,0.1575,0.19,0.1748,0.1649,0.2064
9,0.1861,0.2088,0.2363,0.2144,0.2128,0.2033,0.1967,0.2245,0.1907,0.1892,0.1845,0.1823,0.2094,0.1772,0.2138,0.1966,0.1855,0.2322
10,0.1964,0.2206,0.2475,0.2258,0.2244,0.2153,0.2066,0.2348,0.2012,0.2002,0.196,0.1965,0.2194,0.186,0.2241,0.2065,0.1951,0.2425
11,0.2066,0.2325,0.2586,0.2372,0.236,0.2273,0.2165,0.2451,0.2118,0.2111,0.2075,0.2107,0.2295,0.1949,0.2344,0.2164,0.2046,0.2529
12,0.2169,0.2444,0.2698,0.2486,0.2476,0.2393,0.2264,0.2554,0.2223,0.2221,0.219,0.2248,0.2395,0.2037,0.2447,0.2263,0.2141,0.2632
13,0.2271,0.2562,0.2809,0.26,0.2592,0.2513,0.2363,0.2657,0.2329,0.2331,0.2305,0.239,0.2496,0.2125,0.2551,0.2362,0.2237,0.2736
14,0.2374,0.2681,0.2921,0.2715,0.2708,0.2633,0.2462,0.276,0.2434,0.244,0.242,0.2532,0.2596,0.2214,0.2654,0.246,0.2332,0.2839
15,0.2477,0.28,0.3033,0.2829,0.2824,0.2753,0.2562,0.2863,0.254,0.255,0.2535,0.2673,0.2697,0.2302,0.2757,0.2559,0.2427,0.2943
16,0.2579,0.2918,0.3144,0.2943,0.2939,0.2873,0.2661,0.2966,0.2646,0.2659,0.2649,0.2815,0.2798,0.239,0.286,0.2658,0.2522,0.3046
17,0.2682,0.3037,0.3256,0.3057,0.3055,0.2993,0.276,0.3068,0.2751,0.2769,0.2764,0.2957,0.2898,0.2479,0.2963,0.2757,0.2618,0.315
18,0.2785,0.3156,0.3367,0.3171,0.3171,0.3113,0.2859,0.3171,0.2857,0.2878,0.2879,0.3098,0.2999,0.2567,0.3066,0.2855,0.2713,0.3254
19,0.2854,0.3247,0.3445,0.3251,0.3253,0.3199,0.2936,0.3256,0.2944,0.2964,0.297,0.3182,0.3074,0.2627,0.3141,0.2937,0.2787,0.3333
20,0.2924,0.3339,0.3522,0.3331,0.3335,0.3285,0.3013,0.3342,0.3032,0.305,0.3061,0.3266,0.3149,0.2687,0.3216,0.3018,0.2861,0.3413
21,0.2993,0.3431,0.3599,0.341,0.3417,0.3371,0.3091,0.3427,0.3119,0.3135,0.3152,0.335,0.3224,0.2747,0.3291,0.3099,0.2935,0.3493
22,0.3063,0.3522,0.3676,0.349,0.3499,0.3457,0.3168,0.3512,0.3207,0.3221,0.3243,0.3433,0.3299,0.2807,0.3366,0.318,0.3009,0.3572
23,0.3132,0.3614,0.3753,0.357,0.3581,0.3544,0.3245,0.3597,0.3294,0.3306,0.3334,0.3517,0.3374,0.2867,0.3441,0.3261,0.3083,0.3652
24,0.3202,0.3706,0.383,0.3649,0.3662,0.363,0.3322,0.3682,0.3382,0.3392,0.3425,0.3601,0.3449,0.2927,0.3516,0.3343,0.3157,0.3732
25,0.3271,0.3798,0.3907,0.3729,0.3744,0.3716,0.3399,0.3767,0.3469,0.3478,0.3515,0.3685,0.3524,0.2987,0.3591,0.3424,0.3231,0.3811
